course,A,B,C,D,F,total,gpa,Q,professor,semester,year,college,department
CHEN-320,60,24,2,1,2,89,3.561,1,KWON J ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-320,62,25,3,0,0,90,3.655,0,WU H ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-322,6,2,0,0,0,8,3.750,0,UGAZ V ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-322,59,27,7,1,1,95,3.494,0,UGAZ V ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-322,2,22,13,1,1,39,2.589,2,VADDIRAJU S ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-323,24,39,7,0,0,70,3.242,0,DJIRE A ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-324,22,24,16,1,0,63,3.063,2,WILHITE B ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-354,3,0,2,0,0,5,3.200,0,MITTAL J ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-354,25,34,28,4,0,91,2.879,3,MITTAL J ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-354,30,22,31,6,0,89,2.853,4,BALBUENA P ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-364,17,45,10,0,0,72,3.097,0,SHETTY M ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-374,8,0,0,0,0,8,4.000,0,BLIZZARD G ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-422,1,3,4,0,0,8,2.625,3,MOREIRA R ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-425,20,22,3,0,0,45,3.377,0,EL-HALWAGI M ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-425,56,17,1,0,0,74,3.743,0,RODDEN J ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-426,24,4,0,0,0,28,3.857,0,HILALY A ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-426,22,5,0,0,0,27,3.814,0,TSEREGOUNIS S ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-430,17,11,0,0,0,28,3.607,1,RAHMANI N ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-432,12,5,0,0,0,17,3.705,0,ALAM M ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-432,19,1,0,0,0,20,3.950,0,ALAM M ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-432,11,1,0,0,0,12,3.916,0,ALAM M ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-432,12,1,0,0,0,13,3.923,0,WYGLE R ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-432,20,0,0,0,0,20,4.000,0,WYGLE R ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-432,21,0,0,0,0,21,4.000,0,WYGLE R ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
CHEN-432,20,0,0,0,0,20,4.000,0,WYGLE R ,FALL,2024,ENGINEERING,CHEMICAL ENGINEERING
